city,temperature,wind_speed,time
Beijing,26.1,4.8,2026-07-23T12:15
Shanghai,33.8,6.9,2026-07-23T12:15
Chengdu,38.0,5.7,2026-07-23T12:15
Tokyo,34.8,7.1,2026-07-23T12:15
